,ds,ticker,open,high,low,close,volume,SMA,EMA,RSI,MACD,%K,%D
81,2025-01-16,TSLA,423.489990234375,424.0,409.1300048828125,413.8200073242188,68335200,402.65199584960936,407.8186055230733,37.511602166146666,6.55103461598992,44.18681166790895,43.081589431945496
82,2025-01-17,TSLA,421.5,439.739990234375,419.75,426.5,94991400,407.3739959716797,409.59778594944726,43.04205537951531,7.404344362704705,69.46465357429639,57.81375486156668
83,2025-01-21,TSLA,432.6400146484375,433.2000122070313,406.30999755859375,424.0700073242188,87320900,408.73699645996095,410.97609274704456,47.8740701851142,7.794666322744263,76.5067657992566,63.386077013820646
84,2025-01-22,TSLA,416.80999755859375,428.0,414.5899963378906,415.1099853515625,60963300,409.1429962158203,411.3697968046177,49.33609932920196,7.296886432389613,63.073445810694885,69.68162172808262
85,2025-01-23,TSLA,416.05999755859375,420.7300109863281,408.9500122070313,412.3800048828125,50690600,410.9449981689453,411.4660070977791,52.629636249266795,6.60595632212727,58.98052044609665,66.18691068534939
86,2025-01-24,TSLA,414.4500122070313,418.8800048828125,405.7799987792969,406.5799865722656,56427100,412.10899658203124,411.000671809635,59.504239353593654,5.526668235785451,46.901499784251165,56.31848868034757
87,2025-01-27,TSLA,394.7999877929688,406.6900024414063,389.0,397.1499938964844,58125500,412.34999694824216,409.68155962743015,44.548361793278204,3.8658400545632503,31.801427020941077,45.8944824170963
88,2025-01-28,TSLA,396.9100036621094,400.5899963378906,386.5,398.0899963378906,48910700,411.8279968261719,408.5776012189026,44.69809161610992,2.595552186486316,33.30663553498137,37.33652078005787
89,2025-01-29,TSLA,395.2099914550781,398.5899963378906,384.4800109863281,389.1000061035156,68033600,411.1019989013672,406.7225921602943,47.70346797534398,0.8535832433820474,18.911130538551117,28.006397698157855
90,2025-01-30,TSLA,410.7799987792969,412.5,384.4100036621094,400.2799987792969,98092900,408.30799865722656,406.1090118382945,52.1339495060041,0.3709165841075901,36.813445916922774,29.677070663485086
91,2025-01-31,TSLA,401.5299987792969,419.989990234375,401.3399963378906,404.6000061035156,83283600,407.38599853515626,405.9652970064108,53.81461400724498,0.3331479443389753,41.10944495531549,32.278007136929794
92,2025-02-03,TSLA,386.6799926757813,389.1700134277344,374.3599853515625,383.6799926757813,93732100,403.1039978027344,403.8428870701604,43.06801286828971,-1.369072408054933,14.255134029010922,30.726008300416396
93,2025-02-04,TSLA,382.6300048828125,394.0,381.3999938964844,392.2099914550781,57072200,399.9179962158203,402.73499224967634,48.55067629138028,-2.0066631244533255,27.301934491302166,27.555504491876192
94,2025-02-05,TSLA,387.510009765625,388.3900146484375,375.5299987792969,378.1700134277344,57223300,396.2239990234375,400.39547045711043,30.035900462279898,-3.6033303018816127,5.827512682204585,15.794860400839225
95,2025-02-06,TSLA,373.0299987792969,375.3999938964844,363.1799926757813,374.3200073242188,77918200,392.4179992675781,397.91209301588265,32.79616541805096,-5.120339770496116,14.550698803133724,15.893381992213492
96,2025-02-07,TSLA,370.1900024414063,380.5499877929688,360.3399963378906,361.6199951171875,70298300,387.9220001220703,394.45570273981645,21.747082065754427,-7.263634888968738,1.7567917931774826,7.3783344261719295
97,2025-02-10,TSLA,356.2099914550781,362.7000122070313,350.510009765625,350.7300109863281,77514900,383.2800018310547,390.2913511442461,20.254705927930658,-9.728794927966248,0.28390921206431025,5.530466602791839
98,2025-02-11,TSLA,345.79998779296875,349.3699951171875,325.1000061035156,328.5,118543400,376.3210021972656,384.4064605590798,18.28634452795525,-13.322652872780111,3.5553630899118076,1.8653546983845335
99,2025-02-12,TSLA,329.94000244140625,346.3999938964844,329.1199951171875,336.510009765625,105382700,371.06200256347654,379.844893816846,23.253195383482577,-15.347553299831986,12.024455232676875,5.287909178217665
100,2025-02-13,TSLA,345.0,358.69000244140625,342.8500061035156,355.94000244140625,89441500,366.6280029296875,377.56823749537557,33.71285638932625,-15.209141930367707,32.50079196489304,16.02687009582724
